Region,Campus,Scholars
CARAGA REGION,Zamboanga Peninsula Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Main Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Southern Mindanao Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Western Visayas Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Eastern Visayas Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Cagayan Valley Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Bicol Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Central Mindanao Campus ,39
AUTONOMOUS REGION OF MUSLIM MINDANAO,Ilocos Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Central Visayas Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Cordillera Admin.    Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Central Luzon Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,SOCCSKSARGEN Region Campus ,5
AUTONOMOUS REGION OF MUSLIM MINDANAO,CARAGA Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,CALABARZON Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,MIMAROPA Region Campus ,0
AUTONOMOUS REGION OF MUSLIM MINDANAO,Zamboanga Peninsula Region Campus ,1
